City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
1,Namatanai,PG,79.0,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
3,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
11,Atuona,PF,77.13,scattered clouds,-9.8,-139.0333,Villa Enata
21,Rutland,US,78.28,clear sky,43.6167,-73.0162,Comfort Inn Trolley Square
23,Yellowknife,CA,75.56,broken clouds,62.456,-114.3525,The Explorer Hotel
26,Sola,VU,80.8,overcast clouds,-13.8833,167.55,Leumerus Bungalows
28,Hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Limon,CR,80.49,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
33,Bol,TD,84.69,overcast clouds,13.4586,14.7147,Harrouni camp de passage
36,Bethel,US,82.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
37,Topolobampo,MX,89.51,clear sky,25.6,-109.05,Hotel Marina Topolobampo
43,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
50,Farias Brito,BR,83.08,few clouds,-6.9306,-39.5656,Pousada Boa Vista
55,Constantine,DZ,78.21,clear sky,36.365,6.6147,Grand Hotel Cirta
56,Sur,OM,85.51,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
59,Coro,VE,84.88,light rain,11.4045,-69.6734,Federal
61,Manokwari,ID,78.01,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
63,Jaru,BR,77.34,scattered clouds,-10.4389,-62.4664,Hotel Paraná
65,Turan,VN,78.78,few clouds,16.0678,108.2208,Grand Mercure Danang
67,Touros,BR,76.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
70,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
71,Butaritari,KI,82.09,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
73,Bartica,GY,86.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
79,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
84,Hithadhoo,MV,82.67,broken clouds,-0.6,73.0833,Scoop Guest House
86,Sinnamary,GF,80.24,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
88,Zhaoqing,CN,77.83,overcast clouds,23.0512,112.4597,七星岩旅游度假区
97,Anloga,GH,80.92,overcast clouds,5.7947,0.8973,Pin Drop Hotel
98,Wanning,CN,80.29,overcast clouds,18.8003,110.3967,Paradise Hotel
102,Takaungu,KE,77.43,clear sky,-3.6837,39.8566,Takaungu House
103,Jamestown,US,82.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
107,Tulum,MX,85.71,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
110,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
115,Coahuayana,MX,89.44,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
118,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
128,Saint George,US,89.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
131,Marsh Harbour,BS,82.0,few clouds,26.5412,-77.0636,Abaco Beach Resort
134,Lat Yao,TH,80.55,overcast clouds,15.751,99.7893,โรงแรมสอระ
136,Tabou,CI,77.59,light rain,4.423,-7.3528,hotêl doufoulougou
137,Thompson,CA,82.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
139,Labuhan,ID,77.52,overcast clouds,-6.8844,112.2051,DoubleFAG
154,Salinopolis,BR,79.95,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
158,Daru,PG,78.03,scattered clouds,-9.0763,143.2092,Daru Lodge
160,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
162,Bandarbeyla,SO,77.97,broken clouds,9.4942,50.8122,JABIR HOTEL
169,Westport,US,83.91,clear sky,41.1415,-73.3579,The Westport Inn
170,Tefe,BR,82.51,scattered clouds,-3.3542,-64.7114,Aracati Hotel
178,Khash,IR,81.34,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
180,Nantucket,US,78.85,clear sky,41.2835,-70.0995,Jared Coffin House
183,Toledo,ES,85.08,broken clouds,39.8333,-4.0,Hotel Carlos V Toledo
189,Kavaratti,IN,82.44,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
191,Avarua,CK,77.77,scattered clouds,-21.2078,-159.775,Paradise Inn
196,Alibag,IN,86.07,scattered clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
198,Hambantota,LK,80.24,overcast clouds,6.1241,81.1185,Bungalow 63
204,Pacific Grove,US,80.38,haze,36.6177,-121.9166,Lovers Point Inn
212,Faya,SA,77.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
215,Korhogo,CI,81.66,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
217,Majene,ID,76.71,light rain,-3.5403,118.9707,Kost Putri RABBANI
219,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
220,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Hotel Marilu
221,Manggar,ID,81.39,broken clouds,-2.8833,108.2667,Guest Hotel
226,Petatlan,MX,87.6,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
228,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
234,Komsomolskiy,UZ,78.75,broken clouds,40.4272,71.7189,Ikathouse
239,Methoni,GR,76.21,few clouds,36.8197,21.7049,Methoni Beach Hotel
241,Kutum,SD,82.22,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
245,Diffa,NE,87.24,scattered clouds,13.3154,12.6113,ProDAF/Diffa
246,Pishin,PK,77.16,clear sky,30.5803,66.9961,City Hotel Pishin
247,Sao Raimundo Nonato,BR,82.98,clear sky,-9.0153,-42.6994,Real Hotel
252,Amla,IN,81.0,overcast clouds,21.9333,78.1167,L l ganeshkar
255,Chandbali,IN,84.63,overcast clouds,20.7833,86.7667,Sabitri Bhavan
261,Manhattan,US,86.79,clear sky,40.7834,-73.9662,The Mark Hotel
263,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
265,Lazaro Cardenas,MX,78.89,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
270,Hornepayne,CA,82.45,broken clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
276,Yanam,IN,79.77,overcast clouds,16.7333,82.2167,The Regency Hotel
284,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
285,Kudahuvadhoo,MV,82.98,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
288,Havelock,US,89.55,scattered clouds,34.8791,-76.9013,Sherwood Motel
298,Waingapu,ID,76.78,few clouds,-9.6567,120.2641,Pondok Wisata Elim
301,Fuengirola,ES,80.85,clear sky,36.54,-4.6247,Hotel Las Palmeras
302,Ariquemes,BR,77.9,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
305,San Diego,US,87.08,scattered clouds,32.7153,-117.1573,Hilton San Diego Bayfront
310,Samarai,PG,81.03,overcast clouds,-10.6167,150.6667,Nuli Sapi
315,Tutoia,BR,79.03,clear sky,-2.7619,-42.2744,Pousada Guará's
316,Dingle,PH,76.62,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
320,Tshikapa,CD,75.81,scattered clouds,-6.4167,20.8,Tatem beach
322,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
326,Chabahar,IR,82.63,few clouds,25.2919,60.643,هتل گدروشیا
327,Naranjal,EC,77.43,light rain,-2.6667,-79.6167,Media Naranja
328,Victoria,HK,80.33,overcast clouds,22.2855,114.1577,Mini Central
329,Luganville,VU,80.19,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
330,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
339,Kyaikkami,MM,79.52,broken clouds,16.08,97.5675,St. joseph catholic church
340,Ixtapa,MX,87.03,few clouds,20.7,-105.2,hotel la terminal
341,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
345,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
354,Windham,US,81.9,broken clouds,41.8334,-72.0001,Feather Hill Inn
362,Maumere,ID,77.9,overcast clouds,-8.6199,122.2111,Sylvia Hotel
