City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,82.33,85,20,0.0,few clouds
1,Namatanai,PG,-3.6667,152.4333,79.0,80,10,5.06,clear sky
2,Rikitea,PF,-23.1203,-134.9692,72.95,71,59,8.75,broken clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,96,5.99,overcast clouds
4,Kapaa,US,22.0752,-159.319,84.18,72,20,20.71,few clouds
5,San Cristobal,VE,7.7669,-72.225,77.18,85,100,5.84,overcast clouds
6,Busselton,AU,-33.65,115.3333,61.05,67,25,12.75,scattered clouds
7,Marfino,RU,55.7028,37.3822,60.71,87,40,8.95,scattered clouds
8,Port Alfred,ZA,-33.5906,26.891,61.23,53,8,24.61,clear sky
9,Darhan,MN,49.4867,105.9228,61.38,63,71,0.63,broken clouds
10,Qostanay,KZ,53.1667,63.5833,53.89,82,0,4.47,clear sky
11,Atuona,PF,-9.8,-139.0333,77.13,78,41,19.6,scattered clouds
12,Jijiga,ET,9.35,42.8,66.13,66,19,13.29,few clouds
13,Kasempa,ZM,-13.4584,25.8338,56.53,54,1,2.3,clear sky
14,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,72,40,3.44,scattered clouds
15,Tarko-Sale,RU,64.9225,77.785,59.0,85,98,5.84,overcast clouds
16,Khatanga,RU,71.9667,102.5,47.95,61,17,11.39,few clouds
17,Valleyview,CA,55.0667,-117.2859,60.06,81,100,9.98,overcast clouds
18,Severo-Yeniseyskiy,RU,60.3725,93.0408,55.89,91,89,3.47,overcast clouds
19,New Norfolk,AU,-42.7826,147.0587,44.71,83,100,2.42,light rain
20,Katsuura,JP,35.1333,140.3,60.82,92,100,17.07,light rain
21,Rutland,US,43.6167,-73.0162,78.28,48,0,12.66,clear sky
22,Esperance,AU,-33.8667,121.9,54.97,73,0,13.44,clear sky
23,Yellowknife,CA,62.456,-114.3525,75.56,29,64,10.02,broken clouds
24,Nikolskoye,RU,59.7035,30.7861,56.88,96,100,11.81,light rain
25,Egvekinot,RU,66.3167,-179.1667,31.51,90,100,7.36,light snow
26,Sola,VU,-13.8833,167.55,80.8,79,100,22.32,overcast clouds
27,Abalak,RU,58.1286,68.5944,49.06,97,100,5.68,overcast clouds
28,Hilo,US,19.7297,-155.09,85.28,70,20,8.05,few clouds
29,Albany,US,42.6001,-73.9662,81.52,44,17,1.99,few clouds
30,Avera,US,33.194,-82.5271,86.05,39,72,7.18,broken clouds
31,Limon,CR,10.0,-83.0333,80.49,83,100,4.61,overcast clouds
32,Leningradskiy,RU,69.3833,178.4167,32.22,97,99,8.25,light snow
33,Bol,TD,13.4586,14.7147,84.69,58,100,4.5,overcast clouds
34,Kaitangata,NZ,-46.2817,169.8464,41.09,89,98,16.13,overcast clouds
35,Deputatskiy,RU,69.3,139.9,59.59,47,96,5.19,overcast clouds
36,Bethel,US,41.3712,-73.414,82.49,48,0,9.22,clear sky
37,Topolobampo,MX,25.6,-109.05,89.51,35,0,16.11,clear sky
38,Kodiak,US,57.79,-152.4072,51.31,87,100,11.5,moderate rain
39,Sisimiut,GL,66.9395,-53.6735,36.21,66,3,26.64,clear sky
40,Ushuaia,AR,-54.8,-68.3,37.02,88,31,4.36,scattered clouds
41,Castro,BR,-24.7911,-50.0119,49.28,89,0,5.23,clear sky
42,San Quintin,MX,30.4833,-115.95,68.85,64,0,12.17,clear sky
43,Vaini,TO,-21.2,-175.2,78.96,73,20,6.91,few clouds
44,Ilhabela,BR,-23.7781,-45.3581,63.77,85,6,4.0,clear sky
45,Mogocha,RU,53.7333,119.7667,56.98,72,90,3.06,overcast clouds
46,Yakeshi,CN,49.2833,120.7333,54.27,95,89,2.33,overcast clouds
47,Barrow,US,71.2906,-156.7887,37.42,75,100,8.05,overcast clouds
48,Kalabo,ZM,-14.97,22.6814,59.97,46,2,3.67,clear sky
49,Mataura,NZ,-46.1927,168.8643,45.48,95,100,9.89,light rain
50,Farias Brito,BR,-6.9306,-39.5656,83.08,53,20,2.55,few clouds
