City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Torbay,75,CA,2022-06-13 21:43:14,75,47.6666,-52.7314,55.27,6.91
1,Provideniya,100,RU,2022-06-13 21:43:14,75,64.3833,-173.3,41.36,8.99
2,Mataura,97,NZ,2022-06-13 21:43:14,93,-46.1927,168.8643,43.48,13.8
3,Qaanaaq,36,GL,2022-06-13 21:43:15,73,77.484,-69.3632,30.04,2.77
4,Iquique,18,CL,2022-06-13 21:43:15,80,-20.2208,-70.1431,60.84,6.55
5,Bredasdorp,100,ZA,2022-06-13 21:43:16,83,-34.5322,20.0403,55.18,9.78
6,Kaitangata,93,NZ,2022-06-13 21:43:16,89,-46.2817,169.8464,41.04,18.01
7,Vaini,40,TO,2022-06-13 21:43:16,83,-21.2,-175.2,78.96,5.75
8,Ngunguru,24,NZ,2022-06-13 21:43:17,59,-35.6167,174.5,58.41,11.83
9,Leh,25,IN,2022-06-13 21:43:18,53,34.1667,77.5833,52.5,4.54
10,Samarai,78,PG,2022-06-13 21:43:18,74,-10.6167,150.6667,82.58,10.74
11,Cape Town,75,ZA,2022-06-13 21:39:00,89,-33.9258,18.4232,57.61,17.27
12,La Palma,75,US,2022-06-13 21:39:47,68,33.8464,-118.0467,85.5,10.36
13,Vanavara,84,RU,2022-06-13 21:43:19,86,60.34,102.2797,57.22,3.02
14,Corvallis,100,US,2022-06-13 21:42:44,77,44.5646,-123.262,59.9,9.22
15,Upernavik,75,GL,2022-06-13 21:43:19,82,72.7868,-56.1549,31.75,7.61
16,Galesong,79,ID,2022-06-13 21:43:20,82,-5.3166,119.3661,75.22,7.61
17,Kaeo,17,NZ,2022-06-13 21:43:20,61,-35.1,173.7833,58.91,8.93
18,Verkh-Usugli,42,RU,2022-06-13 21:43:21,61,52.7,115.1667,55.33,1.86
19,Baculin,56,PH,2022-06-13 21:43:21,81,7.4525,126.5842,77.83,6.29
20,Jamestown,24,US,2022-06-13 21:43:21,65,42.097,-79.2353,69.39,4.45
21,Castro,0,BR,2022-06-13 21:43:22,79,-24.7911,-50.0119,46.0,3.04
22,Ushuaia,40,AR,2022-06-13 21:41:01,75,-54.8,-68.3,42.46,21.85
23,Kapaa,0,US,2022-06-13 21:43:22,74,22.0752,-159.319,82.38,16.11
24,Berlevag,100,NO,2022-06-13 21:43:23,81,70.8578,29.0864,44.4,12.66
25,Meulaboh,93,ID,2022-06-13 21:43:23,89,4.1363,96.1285,75.7,4.36
26,Saldanha,97,ZA,2022-06-13 21:43:24,83,-33.0117,17.9442,55.45,20.09
27,Norman Wells,75,CA,2022-06-13 21:43:24,62,65.282,-126.8329,51.84,11.5
28,Dikson,100,RU,2022-06-13 21:43:24,88,73.5069,80.5464,30.18,12.12
29,Khatanga,92,RU,2022-06-13 21:43:25,59,71.9667,102.5,53.13,11.03
30,Ewa Beach,40,US,2022-06-13 21:41:01,54,21.3156,-158.0072,84.15,19.57
31,Cayenne,75,GF,2022-06-13 21:43:25,1,4.9333,-52.3333,79.09,6.91
32,Ribeira Grande,28,PT,2022-06-13 21:43:26,81,38.5167,-28.7,63.48,13.15
33,Port Alfred,100,ZA,2022-06-13 21:43:26,45,-33.5906,26.891,71.65,7.9
34,Mar Del Plata,0,AR,2022-06-13 21:43:26,58,-38.0023,-57.5575,59.02,5.75
35,Esperance,81,AU,2022-06-13 21:43:27,75,-33.8667,121.9,59.11,20.38
36,Denpasar,75,ID,2022-06-13 21:42:20,83,-8.65,115.2167,82.06,10.36
37,Balta,43,UA,2022-06-13 21:43:27,64,47.9355,29.6198,65.71,1.36
38,Yar-Sale,99,RU,2022-06-13 21:43:28,83,66.8333,70.8333,42.84,17.31
39,Hobart,75,AU,2022-06-13 21:43:28,92,-42.8794,147.3294,39.06,4.61
40,Sibolga,100,ID,2022-06-13 21:43:29,91,1.7427,98.7792,74.93,2.84
41,San Felipe,99,VE,2022-06-13 21:43:29,93,10.3399,-68.7425,75.2,4.03
42,Ozernovskiy,100,RU,2022-06-13 21:43:29,97,51.5,156.5167,43.45,7.94
43,Juneau,100,US,2022-06-13 21:43:30,96,58.3019,-134.4197,51.22,9.22
44,Krasnokholmskiy,13,RU,2022-06-13 21:43:30,83,55.9873,55.0466,49.14,4.79
45,Punta Arenas,0,CL,2022-06-13 21:42:32,70,-53.15,-70.9167,44.71,9.22
